yr_built,city,bedrooms,bathrooms,sqft_living,sqft_lot,price
2014,Shoreline,4.0,2.5,2820,8408,625000.0
2014,Seattle,4.0,2.5,2440,6651,631625.0
2014,Issaquah,2.0,2.5,1590,1426,419190.0
2014,Seattle,3.0,2.5,2690,4047,979000.0
2014,Seattle,3.0,2.25,1170,1249,519950.0
2014,Auburn,4.0,2.75,2656,21195,495000.0
2014,Issaquah,3.0,2.5,2010,2287,453246.0
2014,Redmond,4.0,3.25,3270,5187,1033888.0
2014,Issaquah,3.0,2.5,1690,1618,372977.0
2014,Sammamish,5.0,1.5,3360,5402,804995.0
2014,Issaquah,3.0,2.5,1690,1613,386591.0
2014,Seattle,3.0,2.5,2660,4975,599950.0
2014,Kirkland,4.0,2.75,3160,8097,860000.0
2014,Seattle,3.0,2.25,1640,1204,772000.0
2014,Snoqualmie,3.0,2.5,1800,3168,409316.0
2014,Seattle,4.0,2.5,2220,4228,334990.0
2014,Federal Way,4.0,2.5,2052,3723,349900.0
2014,Seattle,3.0,3.5,1820,1501,499950.0
2014,Kirkland,3.0,2.5,2610,7256,754950.0
2014,Des Moines,3.0,2.5,1658,2700,263900.0
2014,Seattle,4.0,3.5,3760,5000,919204.0
2014,Seattle,3.0,2.25,1760,1146,615000.0
2014,Renton,4.0,2.5,3150,5886,580135.0
2014,Maple Valley,4.0,2.5,2240,3712,363990.0
2014,Auburn,5.0,2.75,2481,4045,309000.0
2014,Auburn,4.0,2.5,2658,3960,411605.0
2014,Seattle,3.0,2.25,1530,1245,465000.0
2014,Sammamish,5.0,2.75,3030,7679,837219.0
2014,Sammamish,4.0,2.5,4150,8436,969990.0
2014,Seattle,5.0,3.25,3230,3825,1059500.0
2014,Auburn,4.0,2.5,2009,5000,303210.0
2014,Seattle,2.0,1.25,1240,2150,545000.0
2014,Seattle,6.0,3.75,3010,4360,1125000.0
2014,Issaquah,2.0,1.75,1210,1040,357186.0
2014,Sammamish,4.0,3.25,3450,6184,852880.0
2014,Bothell,4.0,3.25,3430,9870,749995.0
2014,Renton,4.0,2.5,2650,5600,542525.0
2014,Bellevue,5.0,3.5,3130,4797,866059.0
2014,Burien,5.0,3.75,3090,7415,540500.0
2014,Seattle,3.0,2.5,2440,4800,625000.0
2014,Auburn,3.0,2.5,2570,4600,339990.0
2014,Redmond,4.0,2.5,2970,4400,775950.0
2014,Seattle,3.0,2.5,1500,1375,649950.0
